body,title,url
"Aprovechar las aptitudes de las mujeres en el mercado laboral es beneficioso desde el punto de vista económico y mejora el bienestar de los niños tras su primer año de vida. Una mayor implicación del padre en esos primeros años de crianza también tiene claros beneficios para el niño. Así pues, un contrato social que reequilibre las responsabilidades cuidadoras entre hombres y mujeres y convierta en retribuido el trabajo no remunerado de las segundas haría que nuestras sociedades fueran más ricas y más justas. A nuestros niños les irá mejor tanto en el plano académico como en el psicológico si, en sus primeros meses de vida, los crían padres y madres implicados y si, tras esa primerísima infancia, tienen acceso a servicios de guardería y preescolar de calidad. El efecto beneficioso que se observa es especialmente importante para niños que se crían en familias más pobres, y mejora además la movilidad social.",La familia del futuro depende de las decisiones colectivas del presente,https://elpais.com/ideas/2022-01-23/la-familia-del-futuro-depende-de-las-decisiones-colectivas-del-presente.html
"La Junta de Andalucía ha dado un paso más para la apertura de un hotel de 30 habitaciones y 70 plazas de aparcamiento en pleno Parque Natural Cabo de Gata-Níjar. La Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible ha otorgado la Autorización Ambiental Unificada (AAU) al proyecto, que pretende rehabilitar el antiguo cortijo Las Chiqueras para su uso turístico. El espacio, donde existen varias edificaciones de lo que antiguamente fue una fábrica de cuerdas de esparto y una explotación agrícola, se ubica a unos 900 metros de la playa de Los Genoveses, zona de alto valor ambiental y una de las mejor conservadas de Andalucía. En la resolución, el Gobierno regional ha puesto dos condiciones principales al promotor: que obtenga la autorización para la reutilización de aguas depuradas y que el proyecto sea declarado de interés público, trámites que las administraciones no obstaculizarán. La actuación cuenta con el rechazo de numerosas asociaciones ecologistas y casi 250.000 personas han firmado en su contra en la plataforma Change.org.",El Gobierno andaluz da su visto bueno final para abrir un hotel en el parque de Cabo de Gata,https://elpais.com/clima-y-medio-ambiente/2022-01-20/el-gobierno-andaluz-da-su-visto-bueno-final-para-abrir-un-hotel-en-el-parque-de-cabo-de-gata.html
"Es tataranieta de Gustavo Madero, tiene varios parientes que fueron gobernadores y ahora está casada con uno, el de Nuevo Léon, Samuel García, pero ella no necesita otros nombres para hacer valer el suyo: Mariana Rodríguez Cantú, más de dos millones de seguidores en redes sociales y una vida pública y privada sometida a constante escrutinio por voluntad propia. Cada día su imagen y sus comentarios salen en Instagram, desde una visita política a un momento íntimo en pareja. El fin de semana pasado estalló el enésimo escándalo por esa razón: la pareja sacó a un bebé del centro de acogida de niños y publicó sus fotos como en un álbum familiar. Las organizaciones por la infancia la acusan de haber infringido algunas leyes y de exponer al menor por una vía que se descontrola en manos de miles de internautas. Las críticas han arreciado, pero ella no se arredra, incluso enmienda la plana a las ONG. “Lo hice de corazón y lo volvería a hacer”, repite.",Mariana Rodríguez Cantú: “Las redes sociales se nos han ido de las manos a veces”,https://elpais.com/mexico/2022-01-23/mariana-rodriguez-cantu-las-redes-sociales-se-nos-han-ido-de-las-manos-a-veces.html
"Mientras que el año pasado quedó patente que nuestro universo se muere, hay otro que sigue creciendo a cada año: el de Star Wars. Y más en concreto, en su apartado televisivo. La saga que el cineasta George Lucas concibió en 1977 con el estreno de la película La guerra de las galaxias —que con la llegada de nuevas entregas acabaría por añadir a su nombre Episodio IV-Una nueva esperanza—, no ha dejado de expandirse desde entonces. Y en distintos formatos: libros, videojuegos, cómics, películas y series que exploran casi todas las etapas de esta obra, desde la prehistoria y caída de la Antigua República al establecimiento de la Nueva República, pasando por la era Imperial. Es decir, un periodo de más de 25.000 años. Desde que Disney se hiciera con los derechos de esta historia en 2012, y con el posterior lanzamiento de su plataforma Disney+ en 2019, la giganta del entretenimiento ha potenciado la producción de Star Wars en la pequeña pantalla. El éxito de The Mandalorian (2019) supuso una luz verde para el resto de ficciones, algunas de ellas todavía por estrenar. La última, El libro de Boba Fett (2021), sigue la estela que dejó el mandaloriano. Pero para no perderse en este universo en expansión continua, ordenamos cronológicamente las series más relevantes de Star Wars y destacamos qué tiene para ofrecer cada una.",Que las series te acompañen: guía para no perderse en la galaxia televisiva de ‘Star Wars’,https://elpais.com/television/2022-01-23/que-las-series-te-acompanen-guia-para-no-perderse-en-la-galaxia-televisiva-de-star-wars.html
"Con la cara tapada por la mascarilla, abrigados con ropa invernal y a plena luz del día muchos hombres en Vitoria se parecen a Iñaki Urdangarin: altos, fornidos, con gorro marinero de lana y chaquetas térmicas acolchadas, se mueven en bicicleta por esta ciudad verde, la segunda con más carriles bici de España, y considerada como una de las que tiene mejor calidad de vida del país. Sin embargo, a la una de la tarde del pasado viernes en la plaza de los Fueros no hay la menor duda: las cinco cámaras y seis periodistas que desde el miércoles se arremolinan ante el portal número 13, que alberga a Imaz & Asociados, la asesoría donde trabaja desde mayo, aguardan al exduque de Palma. Al recoger su bici, lo acorralan, pero no dice nada. Ya el jueves pronunció una frase que sonó como una confirmación: “Son cosas que pasan”. Demasiado revuelo para una ciudad de 250.000 habitantes a la que le gusta comentar lo que pasa en ella, pero sin que se note tanto.",Iñaki Urdangarin y su nueva vida,https://elpais.com/gente/2022-01-23/la-nueva-vida-de-inaki-urdangarin.html
"La profesión de intérprete comporta sus riesgos. Uno de los más comunes es lo que en la industria se conoce como “caerse en la sala de montaje”. Te contratan para un proyecto y por el guion que has leído y el tiempo que pasas en el rodaje presumes que eres uno de sus personajes, hasta que el día del estreno descubres que no sales en absoluto. En el caso de la actriz Ana de Armas, la cosa fue más lejos, tanto como para aparecer en el tráiler de Yesterday, película británica de 2019 dirigida por Danny Boyle, en la que Himesh Patel interpretaba a un cantautor que despierta tras un accidente de tráfico en un mundo en el que nadie conoce a los Beatles y en el que, por suerte para un pobre músico a punto de tirar la toalla, él sí recuerda sus canciones (de ahí el título). Casi tres años después del estreno de la película, dos fans de la intérprete hispanocubana de 33 años, inmersa desde entonces en una ascendente carrera hacia el estrellato de Hollywood, han decidido demandar a Universal, productora del filme, por haberla eliminado del metraje sobre la marcha.",Dos espectadores piden cinco millones de dólares a Universal por eliminar a Ana de Armas de la película ‘Yesterday’,https://elpais.com/cultura/2022-01-22/dos-espectadores-piden-cinco-millones-de-dolares-a-universal-por-haber-eliminado-a-ana-de-armas-de-la-pelicula-yesterday.html
"El Constitucional ha rechazado los 10 recursos de súplica y las solicitudes de aclaración interpuestas contra su decisión del pasado mes de diciembre de inadmitir de plano las recusaciones formuladas por los líderes del procés contra los magistrados Enrique Arnaldo y Concepción Espejel, nombrados ambos a propuesta del grupo parlamentario popular del Congreso. En dichos recursos se cuestionaba la imparcialidad de los citados miembros del tribunal por su afinidad con el PP. De haber prosperado las recusaciones, el tribunal de garantías se habría quedado sin quórum para resolver los últimos recursos que le quedan pendientes contra la condena que el Supremo impuso a los dirigentes independentistas por el delito de sedición.",El Constitucional rechaza los recursos de los líderes del ‘procés’ contra los magistrados Arnaldo y Espejel,https://elpais.com/espana/2022-01-25/el-constitucional-rechaza-los-recursos-de-los-lideres-del-proces-contra-los-magistrados-arnaldo-y-espejel.html
"Cuatro de los cinco hijos de María Liz Ramírez son estudiantes en pandemia. Sin computadoras, conexión de wifi, ni tabletas en casa, todos dependen de los teléfonos celulares de sus padres para acceder a las tareas que envían las maestras. “Recibimos archivos de muchas páginas por WhatsApp que mandamos a imprimir en un local cerca de casa”, comenta Ramírez. “Cuando yo voy a trabajar, mi marido le lleva las tareas completas a las maestras o a veces vienen ellas a buscar. Nos turnamos, aunque sabemos que podemos contagiarnos”.",La billonaria deuda con los estudiantes en pandemia,https://elpais.com/america/economia/termometro-social-de-america/2021-12-22/la-billonaria-deuda-con-los-estudiantes-en-pandemia.html
"El escritor brasileño Olavo de Carvalho, gurú ideológico del bolsonarismo, ha fallecido este martes a los 74 años, según ha informado su familia. Sus allegados no ha divulgado la causa de la muerte, pero una de sus hijas, con la que tenía roces públicos, ha afirmado que fue por covid. Hace unos días había dado positivo. El también profesor de filosofía y emblema de la derecha radical brasileña inspirada en el trumpismo, que en ocasiones minimizó la gravedad de la pandemia, murió en un hospital de Richmond (Virginia, EEUU), donde vivía hace décadas. El componente trumpista del bolsonarismo era obra suya.","Muere Olavo de Carvalho, el gurú ideológico de Bolsonaro, tras contagiarse de covid ",https://elpais.com/cultura/2022-01-25/muere-el-escritor-y-filosofo-brasileno-olavo-de-carvalho-considerado-un-guru-del-bolsonarismo-a-los-74-anos.html
"It all started, according to court records, with an anonymous email received on September 24, 2015, almost three months after Joaquín “El Chapo” Guzmán’s remarkable escape from the maximum-security El Altiplano penitentiary: the message alerted the authorities that Mexican actress Kate del Castillo was planning on meeting the head of the Sinaloa cartel because she wanted to make a movie about his life. “On September 25, 2015, she will meet him in the village of La Tuna, in Badiraguato, Sinaloa,” the transcription reads. “You only need to follow her or tap her phones to verify what I am telling you.” More than a tip, the message was almost an instruction. From that day on, the actress officially became a target of Mexico’s Attorney General’s Office (PGR), and she remained on their radar long after the drug lord was recaptured several months later, in January 2016.","A movie, a drug lord and an actress: How Kate del Castillo was investigated in Mexico over ‘El Chapo’ ",https://english.elpais.com/usa/2022-01-19/a-movie-a-drug-lord-and-an-actress-how-kate-del-castillo-was-investigated-in-mexico-over-el-chapo.html
"El invierno del bitcoin está dejando los ánimos de los inversores bajo cero. La criptomoneda empezó noviembre tocando unos máximos históricos cercanos a 70.000 dólares, y termina enero con su precio a la mitad, lastrado por la mayor aversión al riesgo derivada de las próximas subidas de tipos de interés en Estados Unidos y, sobre todo, por los anuncios de nuevas restricciones al minado en Rusia, uno de los epicentros de esta actividad, imprescindible para mantener a flote el precio de la divisa digital.",El bitcoin enciende las alarmas: pierde la mitad de su valor en menos de tres meses,https://elpais.com/economia/2022-01-24/el-bitcoin-enciende-las-alarmas-pierde-la-mitad-de-su-valor-en-menos-de-tres-meses.html
